round,test_loss,test_accuracy,eval_time_s
0,2.305620,0.087900,3.445641
1,2.257318,0.177800,2.025018
2,2.140393,0.243900,2.062068
3,2.017751,0.277600,2.137289
4,1.940713,0.310800,2.164305
5,1.893368,0.324600,2.203421
6,1.841490,0.347200,2.064206
7,1.788471,0.358600,2.223885
8,1.743297,0.364700,2.180333
9,1.688975,0.390300,2.175670
10,1.649493,0.404100,2.162687
11,1.613303,0.423500,2.175539
12,1.591188,0.421600,2.170174
13,1.560596,0.434700,2.166999
14,1.547199,0.448100,2.279421
15,1.522049,0.454100,2.175265
16,1.505213,0.461500,2.171887
17,1.495754,0.465200,2.182719
18,1.477310,0.472400,2.172843
19,1.466732,0.479200,2.186217
20,1.454172,0.478900,2.161950
21,1.443321,0.484800,2.252344
22,1.425251,0.494400,2.181470
23,1.413518,0.496100,2.168669
24,1.406362,0.499000,2.176228
25,1.401060,0.502200,2.155352
26,1.392392,0.510300,2.322501
27,1.375129,0.513400,2.158456
28,1.363648,0.516800,2.205002
29,1.352897,0.519300,2.235090
30,1.350066,0.520700,2.508403
31,1.341523,0.522600,2.141722
32,1.333547,0.527400,2.253791
33,1.322422,0.529800,2.182292
34,1.322990,0.528100,2.182435
35,1.319574,0.531900,2.666051
36,1.316979,0.533200,2.143322
37,1.295814,0.538200,2.152138
38,1.286483,0.547200,2.184330
39,1.272846,0.546800,2.334079
40,1.271109,0.549400,2.676785
41,1.264117,0.549200,2.141938
42,1.259345,0.549800,2.140243
43,1.247525,0.558200,2.144755
44,1.239757,0.557300,2.255027
45,1.237184,0.561000,2.664741
46,1.238387,0.560400,2.672706
47,1.224624,0.562800,2.152828
48,1.217458,0.568300,2.150810
49,1.211716,0.567600,2.176275
50,1.201038,0.573900,2.236168
51,1.193246,0.577100,2.758447
52,1.189265,0.576400,2.678406
53,1.186603,0.578800,2.133707
54,1.189320,0.575400,2.139788
55,1.179571,0.580500,2.175961
56,1.171781,0.585300,2.518145
57,1.166744,0.585100,2.687375
58,1.153043,0.590100,2.665543
59,1.149436,0.590800,2.152703
60,1.144994,0.594700,2.168467
61,1.145864,0.594100,2.325162
62,1.151431,0.590400,2.670795
63,1.129475,0.603100,2.666302
64,1.124446,0.604700,2.665816
65,1.141205,0.594500,2.129185
66,1.113003,0.606300,2.177793
67,1.118088,0.609400,2.298796
68,1.116216,0.607200,2.658788
69,1.114379,0.607900,2.654997
70,1.098482,0.616400,2.510760
71,1.096162,0.617500,2.136467
72,1.104672,0.610800,2.226660
73,1.090375,0.611700,2.578253
74,1.088733,0.616100,2.671694
75,1.090425,0.618600,2.671717
76,1.080284,0.620600,2.336864
77,1.097797,0.612000,2.126908
78,1.070894,0.624500,2.164060
79,1.072296,0.625200,2.386838
80,1.067224,0.623100,2.659899
81,1.072126,0.627800,2.662032
82,1.069023,0.622800,2.739982
83,1.060013,0.629000,2.235734
84,1.053742,0.633700,2.128747
85,1.049465,0.628800,2.249269
86,1.058799,0.627500,2.528905
87,1.049292,0.629800,2.639501
