round,test_loss,test_accuracy,eval_time_s
0,2.304393,0.089200,3.580704
1,2.206838,0.204600,2.022390
2,2.070949,0.262200,2.023078
3,1.969648,0.291800,2.027127
4,1.912112,0.315700,2.319525
5,1.865589,0.333400,2.253675
6,1.812561,0.355100,2.237844
7,1.763248,0.366300,2.122516
8,1.716134,0.382600,2.133261
9,1.672184,0.403200,2.039886
10,1.637242,0.408600,2.079316
11,1.607741,0.418500,2.164822
12,1.580417,0.430000,2.052834
13,1.557139,0.441900,2.111196
14,1.537401,0.446800,2.214269
15,1.516044,0.464600,2.170369
16,1.515847,0.459800,2.078118
17,1.485475,0.470000,2.288503
18,1.477268,0.467900,2.171028
19,1.477952,0.473500,2.350271
20,1.462898,0.477500,2.047444
21,1.438463,0.487400,2.094436
22,1.435405,0.492600,2.414473
23,1.417005,0.493800,2.457780
24,1.422891,0.489200,2.207852
25,1.403524,0.502100,2.153549
26,1.393768,0.507400,2.232623
27,1.388781,0.507800,2.218310
28,1.375984,0.513500,2.585567
29,1.363930,0.521200,2.088703
30,1.363017,0.517900,2.032618
31,1.344813,0.524600,2.161035
32,1.342391,0.531100,2.441408
33,1.327951,0.535000,2.450150
34,1.326682,0.528900,2.515529
35,1.312887,0.536200,2.020815
36,1.306308,0.537600,2.082220
37,1.298269,0.547400,2.460505
38,1.294725,0.542200,2.582157
39,1.283249,0.552000,2.017572
40,1.279390,0.550100,2.035169
41,1.257039,0.558700,2.081448
42,1.256119,0.557900,2.480447
43,1.249497,0.562500,2.577036
44,1.240420,0.564600,2.420897
45,1.240023,0.565500,2.273863
46,1.224907,0.572900,2.022322
47,1.216770,0.569700,2.443986
48,1.217157,0.568700,2.423717
49,1.201613,0.578400,2.408143
50,1.198938,0.578800,2.265549
51,1.188629,0.581300,2.190422
52,1.184437,0.584600,2.045821
53,1.181050,0.585700,2.485102
54,1.166616,0.594700,2.440908
55,1.167252,0.590400,2.471307
56,1.156664,0.591700,2.412286
57,1.152898,0.597000,2.410652
58,1.155613,0.591400,2.152974
59,1.148165,0.598100,2.170596
60,1.141382,0.601000,2.164879
61,1.128613,0.603600,2.448321
62,1.127418,0.603000,2.426778
63,1.123169,0.610400,2.422162
64,1.114381,0.611600,2.417940
65,1.117436,0.604800,2.428503
66,1.106143,0.611600,2.414833
67,1.116203,0.606300,2.011578
68,1.099583,0.614300,2.020909
69,1.111971,0.605600,2.454163
70,1.095746,0.616900,2.420094
71,1.086060,0.620000,2.402443
72,1.082810,0.619200,2.427784
73,1.091321,0.613800,2.419107
74,1.076078,0.624100,2.412502
75,1.083489,0.617800,2.296934
76,1.080756,0.618800,2.483048
77,1.069373,0.624900,2.571377
78,1.062564,0.627200,2.409245
79,1.067212,0.624000,2.012054
80,1.063315,0.625200,2.278853
81,1.052103,0.632200,2.423021
82,1.050331,0.635000,2.418778
83,1.045191,0.634400,2.409311
84,1.041340,0.635100,2.423033
85,1.053292,0.635000,2.412339
86,1.038140,0.639900,2.500675
87,1.044621,0.631100,2.016661
88,1.045039,0.634500,2.149582
89,1.030081,0.640700,2.412298
90,1.032984,0.637300,2.431510
91,1.041125,0.633600,2.566223
92,1.029253,0.641600,2.540193
93,1.017599,0.644700,2.557283
94,1.020453,0.647300,3.014006
95,1.014601,0.650100,3.110091
96,1.024602,0.642000,2.656878
97,1.015652,0.645700,2.437631
98,1.016782,0.645600,2.423472
99,1.028065,0.646000,2.430002
100,1.011107,0.652100,2.420150
101,1.005359,0.657900,2.422180
102,1.000558,0.654800,2.424783
103,1.004743,0.654400,2.986142
104,1.006880,0.654300,3.000640
105,1.002936,0.650400,3.179707
106,1.010190,0.648800,3.167318
107,1.012046,0.655500,4.642032
108,0.995208,0.658700,4.740926
109,0.999253,0.659100,3.143147
110,1.001455,0.658500,3.160758
111,0.993520,0.659300,2.434877
112,0.996157,0.653500,2.443085
113,1.010762,0.651900,2.407068
114,0.989752,0.661700,2.379017
115,0.982650,0.657900,2.379940
116,0.993393,0.661200,2.453065
117,0.999217,0.659000,2.395605
118,0.997986,0.657000,2.449363
119,0.993795,0.656900,2.412894
120,0.990946,0.659300,2.072369
121,0.992354,0.658700,2.173098
122,0.991294,0.658700,2.519359
123,0.985084,0.667400,2.420861
124,0.987141,0.662600,2.439417
125,0.992680,0.660900,2.397156
126,0.990352,0.667000,2.564713
127,0.986924,0.661600,2.451524
128,0.997072,0.659200,2.415627
129,0.985150,0.663100,2.559515
130,0.987539,0.666200,2.470319
131,0.984555,0.667600,2.409560
132,0.987097,0.663300,2.410242
133,0.995058,0.662500,2.391788
134,0.980301,0.669700,2.410768
135,1.002481,0.663900,2.392787
136,0.993959,0.665200,2.256281
137,1.006382,0.662300,2.475141
138,0.988173,0.668400,2.423939
139,0.999876,0.664500,2.401393
140,1.000844,0.664400,2.410972
141,0.989252,0.665600,2.503574
142,0.998233,0.667800,2.390423
143,1.002623,0.663100,2.225040
144,0.992222,0.665500,2.419696
145,1.013497,0.663100,2.476246
146,1.003209,0.668800,2.425247
147,1.001879,0.667700,2.575466
148,1.007400,0.668500,2.440924
149,1.018617,0.664900,2.581642
150,1.000385,0.670200,2.547199
151,1.005727,0.666900,2.406334
152,1.007069,0.668600,2.427044
153,0.997023,0.671500,2.404931
154,1.005730,0.672600,2.402669
155,1.007547,0.671600,2.001934
156,1.005450,0.674300,2.117168
157,1.004774,0.674300,2.494393
158,1.005324,0.673700,2.487213
159,1.005875,0.672500,2.422122
160,1.011939,0.673500,2.407544
161,1.012720,0.676700,2.437289
162,1.005651,0.677700,2.407585
163,1.034105,0.669200,2.483404
164,1.014009,0.672400,2.420177
165,1.012012,0.678100,2.418560
166,1.030089,0.670200,2.405753
167,1.017517,0.676300,2.413825
168,1.022283,0.674400,2.391283
169,1.040731,0.671700,2.407712
170,1.023307,0.671200,2.499745
171,1.036312,0.670900,2.404327
